04.3x12 桡神经缝合术
04.3x13 指神经缝合术
04.3x14 闭孔神经缝合术
04.3x15 坐骨神经缝合术
04.3x16 股神经缝合术
04.3x17 胫神经缝合术
04.3x18 腓神经缝合术
04.5x00x005 颅神经移植术
04.5x00x009 耳大神经移植术
04.5x00x016 周围神经移植术
04.5x00x017 脊神经移植术
04.5x00x018 副神经移植术
04.5x00x019 颈丛神经移植术
04.5x00x020 胫神经移植术
04.5x00x021 肩胛神经移植术
04.5x00x022 腋神经移植术
04.5x00x023 肌皮神经移植术
04.5x00x025 异体神经移植修复臂丛神经术
04.5x00x026 异体神经移植修复肌皮神经术
04.5x00x027 异体神经移植修复正中神经术
04.5x00x028 异体神经移植修复桡神经神经术
04.5x00x029 异体神经移植修复尺神经术
04.5x00x030 异体神经移植修复坐骨神经术
04.5x00x031 异体神经移植修复股神经术
04.5x00x032 异体神经移植修复胫神经术
04.5x00x033 异体神经移植修复腓总神经术
04.5x01 面神经移植术
04.5x02 臂丛神经移植术
04.5x03 正中神经移植术
04.5x04 尺神经移植术
04.5x05 桡神经移植术
04.5x06 指神经移植术
04.5x07 坐骨神经移植术
04.5x08 股神经移植术
04.5x09 腓总神经移植术
04.5x10 腓肠神经移植术
04.5x11 喉返神经移植术
04.6x00x010 同侧脊神经根移位术
04.6x00x012 闭孔神经移位术
04.6x00x013 尺神经部分神经束移位术
04.6x00x014 尺神经前移术
04.6x00x015 肱三头肌支移位术
04.6x00x017 脑神经移位术
04.6x00x018 桡神经浅支移位术
04.6x00x019 正中神经部分神经束移位术
04.6x00x020 周围神经移位术
04.6x01 副神经移位术
04.6x02 耳大神经移位术
04.6x03 下牙槽神经移位术
04.6x04 颈丛神经移位术
04.6x05 健侧颈7神经移位术
04.6x06 肋间神经移位术
04.6x07 胸背神经移位术
04.6x08 正中神经移位术
04.6x09 桡神经移位术
04.6x10 尺神经移位术
04.6x11 指神经移位术
04.6x12 膈神经移位术
04.0100x003 听神经切断术
04.0101 经乙状窦后入路听神经瘤切除术
04.0102 经迷路内听道听神经瘤切除术
04.0103 前庭神经切断术
04.0200x005 三叉神经感觉根部分切断术
04.0200x006 鼻内镜下三叉神经切断术
04.0200x007 三叉神经射频毁损术
04.0200x008 三叉神经半月节球囊压迫术
04.0201 延髓三叉神经脊髓束切断术
04.0202 颞下三叉神经根切断术
04.0203 经后颅窝三叉神经感觉根切断术
04.0204 上牙槽神经切断术
04.0205 筛前神经切断术
04.0300x002 闭孔神经切断术
04.0300x003 脊神经根切断术
04.0300x009 颈神经后根切断术
04.0300x010 腰骶神经后根切断术
04.0300x011 面神经分支切断术
04.0300x012 膈神经切断术
04.0300x013 翼管神经切断术
04.0300x014 眶神经切断术
04.0300x015 枕大神经切断术
04.0300x016 臂丛神经切断术
04.0300x017 正中神经切断术
04.0300x018 腹股沟区神经切断术
04.0300x019 胫前神经切断术
04.0300x020 胫后神经切断术
04.0300x021 腓肠神经切断术
04.0301 颅神经切断术
04.0302 视神经切断术
04.0303 面神经切断术
04.0304 周围神经切断术
04.0305 指神经切断术
04.0306 趾神经切断术
04.0307 运动神经切断术
04.0308 坐骨神经切断术
04.0309 胫神经肌支切断术
04.0310 腓神经切断术
04.0400x025 牙槽神经探查术
04.0400x029 胸背神经探查术
04.0400x030 舌神经探查术
