AA19	心肺移植
DK1_21.0	其他头、颈、耳、鼻、咽、口治疗操作，控制鼻出血
DK1_9	其他头、颈、耳、鼻、咽、口治疗操作，其他
DR17	头、颈、耳、鼻、咽、口恶性肿瘤，死亡转归
DR1_C77.0	头、颈、耳、鼻、咽、口恶性肿瘤，头、面和颈部淋巴结继发性和未的恶性肿瘤
DR1_9	头、颈、耳、鼻、咽、口恶性肿瘤，其他
DS1_H81.0	平衡失调及听觉障碍，梅尼埃[美尼尔]病
DS1_9	平衡失调及听觉障碍，其他
DT1_J06.9	中耳炎及上呼吸道感染，未特指的急性上呼吸道感染
DT1_H66	中耳炎及上呼吸道感染，化脓性和未特指的中耳炎
DT1_9	中耳炎及上呼吸道感染，其他
DT2_J05.1	会厌炎、喉炎及气管炎，急性会厌炎
DT2_J36	会厌炎、喉炎及气管炎，扁桃体周脓肿
DT2_9	会厌炎、喉炎及气管炎，其他
DU1_J34.2	头、颈、外耳、口鼻的创伤及变形，鼻中隔偏曲
DU1_S09.9	头、颈、外耳、口鼻的创伤及变形，头部未特指的损伤
DU1_S02	头、颈、外耳、口鼻的创伤及变形，颅骨和面骨骨折
DU1_9	头、颈、外耳、口鼻的创伤及变形，其他
DV10	头、颈、耳、鼻、咽、口非恶性增生性疾病，年龄小于18岁
DV1_D18.0	头、颈、耳、鼻、咽、口非恶性增生性疾病，血管瘤，任何部位
DV1_J39.2	头、颈、耳、鼻、咽、口非恶性增生性疾病，咽的其他疾病
DV1_K11.9	头、颈、耳、鼻、咽、口非恶性增生性疾病，涎腺未特指的疾病
DV1_R59.9	头、颈、耳、鼻、咽、口非恶性增生性疾病，未特指的淋巴结增大
DV1_J38	头、颈、耳、鼻、咽、口非恶性增生性疾病，声带和喉疾病，不可归类在他处者
DV1_K09	头、颈、耳、鼻、咽、口非恶性增生性疾病，口区囊肿，不可归类在他处者
DV1_9	头、颈、耳、鼻、咽、口非恶性增生性疾病，其他
DW10	口腔、牙齿有关疾病，年龄小于18岁
DW1_K07.6	口腔、牙齿有关疾病，颞下颌关节疾患
DW1_K12.2	口腔、牙齿有关疾病，口蜂窝织炎和脓肿
DW1_K12	口腔、牙齿有关疾病，口炎和有关损害
DW1_9	口腔、牙齿有关疾病，其他
DZ10	其他头、颈、耳、鼻、咽、口疾病，年龄小于18岁
DZ11	其他头、颈、耳、鼻、咽、口疾病，伴严重并发症或合并症
DZ13	其他头、颈、耳、鼻、咽、口疾病，伴并发症或合并症
DZ15	其他头、颈、耳、鼻、咽、口疾病，不伴并发症或合并症
EB11	肺大手术，伴严重并发症或合并症
EB13	肺大手术，伴并发症或合并症
EB15	肺大手术，不伴并发症或合并症
EB15_n	肺大手术，不伴并发症或合并症，使用新技术新项目
EB2_32.2	肺其他手术，肺病损或组织的局部切除术或破坏术
EB2_33.7	肺其他手术，支气管或肺的其他内镜操作
EB2_33.9	肺其他手术，肺和支气管的其他手术
EB2_34.0	肺其他手术，胸壁和胸膜切开术
EB2_34.2	肺其他手术，胸壁、胸膜、纵隔和横膈的诊断性操作
EB2_9	肺其他手术，其他
EC1_07.8	纵隔、气管、胸壁大手术，胸腺切除术
EC1_31.5	纵隔、气管、胸壁大手术，气管病损或组织的局部切除术或破坏术
EC1_34.3	纵隔、气管、胸壁大手术，纵隔病损或组织的切除术或破坏术
EC1_34.3_n	纵隔、气管、胸壁大手术，纵隔病损或组织的切除术或破坏术，使用新技术新项目
EC1_34.4	纵隔、气管、胸壁大手术，胸壁病损的切除术或破坏术
EC1_34.7	纵隔、气管、胸壁大手术，胸壁修补术
EC1_9	纵隔、气管、胸壁大手术，其他
EC29	纵隔、气管、胸壁其他手术
ED11	除肺、纵隔、气管、胸壁外的其他手术，伴严重并发症或合并症
ED13	除肺、纵隔、气管、胸壁外的其他手术，伴并发症或合并症
ED15	除肺、纵隔、气管、胸壁外的其他手术，不伴并发症或合并症
EJ11	呼吸系统其他手术，伴严重并发症或合并症
EJ13	呼吸系统其他手术，伴并发症或合并症
EJ15	呼吸系统其他手术，不伴并发症或合并症
EK17	有创呼吸机治疗小于96小时，死亡转归
EK19	有创呼吸机治疗小于96小时
EK27	伴肺水肿或呼吸衰竭的无创呼吸支持技术，死亡转归
EK29	伴肺水肿或呼吸衰竭的无创呼吸支持技术
ER11	呼吸系统肿瘤，伴严重并发症或合并症
ER13	呼吸系统肿瘤，伴并发症或合并症
